日期Date	指数代码Index Code	指数中文全称Index Chinese Name(Full)	指数中文简称Index Chinese Name	指数英文全称Index English Name(Full)	指数英文简称Index Chinese Name	开盘Open	最高High	最低Low	收盘Close	涨跌Change	涨跌幅(%)Change(%)	成交量（万手）Volume(M Shares)	成交金额（亿元）Turnover	样本数量ConsNumber
20220422	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	920.18	924.63	903.06	914.60	-10.72	-1.16	1089.38	82.11	50
20220425	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	898.13	898.13	849.53	849.53	-65.07	-7.11	1386.21	97.53	50
20220426	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	856.19	876.00	842.16	843.72	-5.81	-0.68	1272.10	96.51	50
20220427	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	833.46	870.42	824.04	869.93	26.21	3.11	1406.57	108.37	50
20220428	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	861.26	862.89	839.80	852.40	-17.52	-2.01	1268.20	95.05	50
20220429	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	858.63	918.04	858.63	914.13	61.73	7.24	1675.73	141.81	50
20220505	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	904.33	917.28	900.49	911.25	-2.88	-0.32	1377.51	111.68	50
20220506	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	886.72	898.83	881.42	887.85	-23.39	-2.57	1103.73	87.11	50
20220509	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	889.83	907.46	889.83	899.93	12.07	1.36	950.31	73.29	50
20220510	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	887.61	907.40	880.65	906.30	6.37	0.71	1183.31	88.41	50
20220511	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	909.09	935.32	908.53	909.34	3.04	0.33	1681.70	127.88	50
20220512	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	900.75	912.06	897.68	909.69	0.36	0.04	1071.85	80.54	50
20220513	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	914.96	916.99	905.13	912.12	2.42	0.27	999.40	75.46	50
20220516	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	916.10	922.28	912.75	919.40	7.28	0.80	1139.85	94.32	50
20220517	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	917.68	920.81	904.38	917.68	-1.71	-0.19	972.66	84.25	50
20220518	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	923.04	928.30	911.93	912.70	-4.98	-0.54	1186.57	96.84	50
